compound,5-HT1A,5-HT1B,5-HT1D,5-HT1E,5-HT1F,5-HT2A,5-HT2B,5-HT2C,5-HT3,5-HT4,5-HT6,5-HT7,n_receptors,s_score,gini,entropy,ratio,top_receptor,pKi_top,pKi_2A,pKi_2B,selectivity_2A_over_2B
5-MeO-DMT,7.553748799682389,6.7927305819015995,8.200659450546418,6.443456291516485,,6.412762763864266,5.648388713228598,6.776399856441983,,,7.449771646944906,8.4089353929735,9,0.1111111111111111,0.06734281366505801,2.854743796487649,1.025397462689809,5-HT7,8.4089353929735,6.412762763864266,5.648388713228598,0.7643740506356682
5-MeO-DiPT,6.878112014896319,5.289290434275663,5.764976840504776,,,,6.787812395596042,,,,,5.909741947068683,5,0.6,0.05485455850805221,1.8260111862349724,1.0133031990334418,5-HT1A,6.878112014896319,,6.787812395596042,
5-MeO-MiPT,7.910094888560602,,,5.456428576037634,,6.348431261134208,7.232844133917819,5.6603498423863154,,,6.885389015767827,7.703334809738469,7,0.2857142857142857,0.07465011426558021,2.348706298612555,1.026840333950012,5-HT1A,7.910094888560602,6.348431261134208,7.232844133917819,-0.8844128727836109
5-MeO-T,7.506444445808619,7.619206887527216,8.208296169272804,5.501551596826,5.933301449577005,6.279651850759016,8.26135012593252,7.461913776082298,,6.356939721980465,7.649046753265474,8.741906004020533,11,0.18181818181818182,0.07783421974384885,3.1427525465351396,1.058169169780075,5-HT7,8.741906004020533,6.279651850759016,8.26135012593252,-1.9816982751735033
6-F-DMT,6.406049704736013,6.662141570958905,7.256490235271571,6.336487529584844,,6.062482107982653,7.525783735923745,6.171211251815047,,,7.59176003468815,7.38933983691012,9,0.0,0.04754470048475734,2.6633468411239227,1.008766701393434,5-HT6,7.59176003468815,6.062482107982653,7.525783735923745,-1.4633016279410915
7-Et-DALT,5.99439055463972,,5.570086302236246,,,5.819587367161676,7.187086643357144,6.3535962737769305,,,,,5,0.6,0.04873779011554813,1.6785519067431163,1.131184030848838,5-HT2B,7.187086643357144,5.819587367161676,7.187086643357144,-1.3674992761954687
DALT,7.0,,6.161780778092375,6.422508200162774,,6.154281982033341,7.214670164989233,6.414539270491499,,,5.764976840504776,,7,0.14285714285714285,0.03989021226214007,2.40461825166466,1.0306671664270333,5-HT2B,7.214670164989233,6.154281982033341,7.214670164989233,-1.0603881829558919
DMT,6.682949902192663,5.657577319177793,6.786541264382331,6.341320971417551,,6.4287552285999885,6.613912519587693,6.627682987666785,,,6.739802781222529,7.057991946977687,9,0.1111111111111111,0.028763338915289483,2.9696022777142352,1.039998383863074,5-HT7,7.057991946977687,6.4287552285999885,6.613912519587693,-0.1851572909877044
DOB,5.348712666239135,6.080398976215889,5.763099011128972,6.2549252084179425,,8.269112634617423,7.782947806598246,7.717831613044396,,,,,7,0.2857142857142857,0.08736757400624873,2.3070005078589912,1.062465384594641,5-HT2A,8.269112634617423,8.269112634617423,7.782947806598246,0.48616482801917726
DOET,5.405607449624574,5.6106566887479215,,,,7.275724130399211,,6.995678626217357,,,,,4,0.5,0.06915794178287271,1.2507205892537172,1.0400312134311518,5-HT2A,7.275724130399211,7.275724130399211,,
DOI,5.6280090885350855,5.899284913426918,5.906095255857023,5.527243550682788,5.679850764989683,8.279626981195609,7.820017412518396,7.911377799456296,,,,,8,0.625,0.0881048825499835,2.1341035679945253,1.0465467825041324,5-HT2A,8.279626981195609,8.279626981195609,7.820017412518396,0.45960956867721237
DOM,4.993178247711842,5.685500772026849,,,,7.487311002642091,,7.028646992450504,,,,,4,0.5,0.0875736419621671,1.4254648817061606,1.0652563730522018,5-HT2A,7.487311002642091,7.487311002642091,,
