number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link
39,5-HT2C,HTR2C,437,"DMT,5-OH",CN(C)CCC1=CNC2=C1C=C(C=C2)O,487-93-4,89593.0,3H-MESULERGINE,PIG,Choroid Plexus,,70.8,"HOYER, 1988",
40,5-HT2C,HTR2C,437,"DMT,5-OH",CN(C)CCC1=CNC2=C1C=C(C=C2)O,487-93-4,89593.0,3H-MESULERGINE,PIG,Choroid Plexus,,70.8,"HOYER ET AL., 1989",
41,5-HT2C,HTR2C,437,"DMT,5-OH",CN(C)CCC1=CNC2=C1C=C(C=C2)O,487-93-4,89593.0,3H-MESULERGINE,PIG,Choroid Plexus,,70.8,"HOYER, 1989 (J.R.R.)",
42,5-HT2C,HTR2C,446,BUSPIRONE,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,36505-84-7,,3H-MESULERGINE,PIG,CORTEX,,1160.0,"TITELER ET AL., 1987",
43,5-HT2C,HTR2C,446,BUSPIRONE,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,36505-84-7,,3H-MIANSERIN,RAT,Choroid Plexus,,2940.0,"Sanders-Bush E, Breeding M., 1988",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=3139864
44,5-HT2C,HTR2C,446,BUSPIRONE,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,36505-84-7,,3H-MESULERGINE,PIG,Choroid Plexus,,7940.0,"HOYER, 1988 or 9 (book)",
45,5-HT2C,HTR2C,141,"5-CT,DP",,,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"HOYER, 1988 or 9 (book)",
46,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,125I-SCH 23982,PIG,Choroid Plexus,,4.68,"HOYER & KARPF, 1988",
47,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,125I-SCH 23982,RAT,Choroid Plexus,,7.1,"YAMAMOTO & KEBABIAN, 1989",
48,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,CORTEX,,9.5,"TITELER ET AL., 1987",
49,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,RAT,CORTEX,,15.8,"HOYER ET AL., 1985",
50,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-5HT,PIG,Choroid Plexus,,20.0,"PAZOS ET AL, 1984",
51,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,25.0,"PAZOS ET AL, 1984",
52,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,30.2,"HOYER ET AL., 1986",
53,5-HT2C,HTR2C,150,5-Hydroxy Tryptamine,C1=CC2=C(C=C1O)C(=CN2)CCN,50-67-9,58241.0,3H-MESULERGINE,PIG,Choroid Plexus,,31.6,"HOYER, 1988 or 9 (book)",
