assay_chembl_id,assay_description,document_chembl_id,standard_type,standard_units,molecule_chembl_id,standard_value,standard_relation,pathway
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5176147,121.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5184791,150.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5170895,161.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5201317,114.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5189232,114.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5190617,106.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5173321,82.9,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5418595,38.9,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5410020,32.2,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5416033,42.0,=,beta-arrestin
CHEMBL5375654,Agonist activity at RLuc-fused 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with mVenus-fused beta arrestin-2/GRK2 assessed as beta arrestin-2 recruitment at 0.1 to 10 uM incubated for 30 mins using coelenterazine h as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5440705,51.8,=,beta-arrestin
