assay_chembl_id,assay_description,document_chembl_id,n_records,pathway
CHEMBL4842294,Agonist activity at 5HT2A receptor (unknown origin) expressed in HEK293 cells assessed as maximal effect by FLIPR calcium flux assay relative to control,CHEMBL4840380,6,gq
CHEMBL5038452,Agonist activity at 5-HT2A receptor (unknown origin) by calcium flux assay,CHEMBL5036377,6,gq
CHEMBL4605029,Agonist activity at human 5-HT2A receptor expressed in Flp-In T-REx 293 cells assessed as induction of Gq-mediated calcium flux incubated for 1 hr by Flou4-AM dye based FLIPR assay,CHEMBL4602692,6,gq
CHEMBL2395631,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as increase in calcium mobilization by FLIPR assay,CHEMBL2390840,6,gq
CHEMBL5149890,Agonist activity at human 5-HT2A receptor assessed as activation of calcium mobilization incubated for 2 mins by Calcium-6 dye based FLIPR assay,CHEMBL5143755,6,gq
CHEMBL4195143,Agonist activity at human 5-HT2A receptor expressed in CHO-K1 cells co-expressing Galpha16 assessed as increase in calcium mobilization measured for 30 secs by aequorin-derived luminescence assay relative to alpha-methylserotonin,CHEMBL4190389,6,gq
CHEMBL5362789,Antagonist activity at human 5-HT2A expressed in CHO-K1 cells assessed as inhibition of 5HT stimulated inositol phosphate production preincubated for 10 mins followed by serotonin addition and measured after 20 mins by HTRF based assay relative to 5-HT,CHEMBL5360565,6,gq
CHEMBL883722,Effective concentration required for accumulation of [3H]inositol phosphate in cells stably expressing human 5-hydroxytryptamine 2A receptor determined by phosphoinositide hydrolysis assay,CHEMBL1142853,5,gq
CHEMBL4368230,Antagonist activity at human 5HT2A receptor expressed in CHOK1 cells assessed as maximal inhibition of 5-HT induced inositol phosphate production incubated for 24 hrs followed by 5-HT addition by HTRF assay relative to control,CHEMBL4364325,5,gq
CHEMBL2342580,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as accumulation of IP1 incubated for 1 hr at 37 degC followed by 15 mins at RT by TR-FRET assay relative to 5HT,CHEMBL2331121,5,gq
CHEMBL5359171,Partial agonist activity at human 5-HT2AR expressed in human Flp-In-T-REx-293 cells assessed as increase in calcium flux upto 10 uM incubated for 60 mins followed by incubation for 30 mins in dark by Flou-4 dye based FLIPR assay,CHEMBL5357013,5,gq
CHEMBL4685408,Antagonist activity at recombinant human Ga16-coupled 5HT2A receptor expressed in CHO-K1 cells assessed as inhibition of alpha-methylserotonin-induced calcium mobilization preincubated for 15 to 30 mins followed by alpha-methylserotonin addition and measured for 30 to 60 secs by aequorin based luminescence assay,CHEMBL4680205,5,gq
CHEMBL4685409,Antagonist activity at recombinant human Ga16-coupled 5HT2A receptor expressed in CHO-K1 cells assessed as inhibition of serotonin-induced calcium mobilization preincubated for 15 to 30 mins followed by serotonin addition and measured for 30 to 60 secs by aequorin based luminescence assay,CHEMBL4680205,5,gq
CHEMBL921969,Intrinsic activity at human cloned 5HT2A receptor expressed in CHO cells assessed as maximal stimulation of 10 uM 5HT-induced myo-[3H]inositol hydrolysis,CHEMBL1143993,4,gq
CHEMBL3750146,Antagonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as inhibition of serotonin-induced inositol-1-phosphate accumulation at 1 uM after 30 mins by HTRF assay,CHEMBL3745654,4,gq
CHEMBL3863879,Antagonist activity at human 5-HT2AR expressed in Flp-In HEK cells assessed as inhibition of serotonin induced calcium mobilization at 10 uM preincubated for 5 to 10 mins followed by serotonin addition by Fluo-4 dye based FLIPR assay relative to control,CHEMBL3862033,4,gq
CHEMBL617051,Functional agonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,CHEMBL1133355,4,gq
CHEMBL5548747,Antagonist activity at recombinant human 5-HT2A expressed in CHO-K1 cells assessed as inhibition of alpha-Me-5-HT induced increase in IP1 accumulation incubated for 60 mins by HTRF ASSAY,CHEMBL5543160,4,gq
CHEMBL921966,Agonist activity at human cloned 5HT2A receptor expressed in CHO cells assessed as myo-[3H]inositol hydrolysis,CHEMBL1143993,4,gq
CHEMBL5352734,Inhibition of 5HT2A receptor (unknown origin) expressed in HEK293 cells by FLIPR Calcium 6 dye based assay,CHEMBL5352387,4,gq
CHEMBL2343049,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as induction of intracellular calcium release up to 1000 uM measured up to 90 secs by fluorescence assay,CHEMBL2331121,4,gq
CHEMBL4222629,Agonist activity at human recombinant 5-HT2A receptor expressed in CHOK1 cells assessed as induction of calcium release incubated for 15 mins measured every 1.7 secs for 60 secs by calcium 4 dye-based FLIPR assay,CHEMBL4219158,4,gq
CHEMBL3106888,Competitive antagonist activity at human 5-HT2A receptor expressed in CHO cells assessed as inhibition of inositol phosphate release after 30 mins by HTRF assay,CHEMBL3102756,3,gq
CHEMBL3738655,Agonist activity at human 5-HT2A receptor expressed in CHO-K1 cells assessed as calcium level by FDSS assay,CHEMBL3734721,3,gq
CHEMBL4368233,Antagonist activity at human 5HT2A receptor expressed in CHOK1 cells assessed as inhibition of inositol phosphate production incubated for 24 hrs followed by 5-HT addition by Cheng-Prusoff equation analysis,CHEMBL4364325,3,gq
CHEMBL3738119,Antagonist activity at human 5-HT2A receptor expressed in CHO-K1 cells assessed as seretonin-induced calcium level by FDSS assay,CHEMBL3734721,3,gq
CHEMBL5360141,Positive allosteric modulation of human 5-HT2A receptor stably expressed in CHO cells assessed as modulation of 5-HT induced intracellular Ca2+ release by measuring maximal efficacy at 1 uM preincubated for 15 mins followed by 5-HT addition and measured by FLIPR analysis relative to control,CHEMBL5357065,3,gq
CHEMBL4139211,Antagonist activity at 5-HT2A receptor in human MCF7 cells assessed as inhibition of serotonin-induced calcium flux at 5 uM measured at 5 secs time interval for 2 mins by Fluo-4AM dye based fluorescence microscopic analysis,CHEMBL4138090,3,gq
CHEMBL5135529,"Potency index, ratio of pimavanserin IC50 to test compound IC50 for antagonist activity at 5-HT2A receptor (unknown origin) expressed in CHO-K1 cells assessed as reduction in intracellular Ca2+ mobilization incubated for 15 mins by FLIPR assay",CHEMBL5131502,3,gq
CHEMBL5509699,Agonist activity at human 5-HT2AR expressed in HEK293 cells upto 50 uM incubated upto 90 sec by Fluo-4 AM dye based Ca2+ imaging assay,CHEMBL5506019,3,gq
CHEMBL1831391,Agonist activity at human 5-HT2A receptor assessed as intracellular calcium mobilization at 10 uM by FLIPR assay,CHEMBL1828541,3,gq
CHEMBL5548746,Agonist activity at recombinant human 5-HT2A expressed in CHO-K1 cells assessed as increase in IP1 accumulation incubated for 60 mins by HTRF assay,CHEMBL5543160,2,gq
CHEMBL5324941,Antagonist activity at 5-HT2A receptor (unknown origin) by calcium flux assay,CHEMBL5321291,2,gq
CHEMBL5509706,Partial agonist activity at human 5-HT2AR expressed in HEK293 cells assessed as maximal response incubated upto 90 sec by Fluo-4 AM dye based Ca2+ imaging assay relative to 5-HT,CHEMBL5506019,2,gq
CHEMBL5324940,Agonist activity at 5-HT2A receptor (unknown origin) by calcium flux assay,CHEMBL5321291,2,gq
CHEMBL5359169,Partial agonist activity at human 5-HT2AR expressed in human Flp-In-T-REx-293 cells assessed as increase in calcium flux incubated for 60 mins followed by incubation for 30 mins in dark by Flou-4 dye based FLIPR assay,CHEMBL5357013,2,gq
CHEMBL5324942,Agonist activity at 5-HT2A receptor (unknown origin) by calcium flux assay relative to control,CHEMBL5321291,2,gq
CHEMBL5509704,Partial agonist activity at human 5-HT2AR expressed in HEK293 cells incubated upto 90 sec by Fluo-4 AM dye based Ca2+ imaging assay,CHEMBL5506019,2,gq
CHEMBL5324943,Antagonist activity at 5-HT2A receptor (unknown origin) by calcium flux assay relative to control,CHEMBL5321291,2,gq
CHEMBL5553668,Agonist activity at 5-HT2A receptor (unknown origin) assessed as IP1 accumulation at 0.0004 to 10 uM incubated for 1 hr by HTRF method,CHEMBL5550195,2,gq
CHEMBL4709861,Antagonist activity at human 5HT2A receptor expressed in CHO-K1 cells assessed as inhibition of 5HT-induced calcium flux incubated for 60 mins at 37 degC followed by 15 mins incubation at room temperature and subsequent 5HT addition by calcium 4 dye based FLIPR assay,CHEMBL4706549,2,gq
CHEMBL882950,Antagonistic activity against accumulation of [3H]-inositol phosphate in cells stably expressing human 5-hydroxytryptamine 2A receptor determined by phosphoinositide hydrolysis assay,CHEMBL1142853,2,gq
CHEMBL3872782,Antagonistic activity at 5-HT2A receptor (unknown origin) expressed in CHOK1 cells co-expressing G-alpha 15 assessed as inhibition of serotonin-induced calcium flux by Fluo-4 based FLIPR assay,CHEMBL3872208,2,gq
